PLAYER,TEAM,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,WAR
"
MarcusSemien
",TEX,161,657,101,163,31,5,26,83,53,120,25,8,0.248,0.304,0.429,0.733,5.7
"
BoBichette
",TOR,159,652,91,189,43,1,24,93,41,155,13,8,0.29,0.333,0.469,0.802,3.6
"
VladimirGuerrero
",TOR,160,638,90,175,35,0,32,97,58,116,8,3,0.274,0.339,0.48,0.819,4
"
AmedRosario
",CLE,153,637,86,180,26,9,11,71,25,111,18,4,0.283,0.312,0.403,0.715,4.1
"
CedricMullins
",BAL,156,608,89,157,32,4,16,64,47,126,34,10,0.258,0.318,0.403,0.721,3.8
"
AdolisGarcia
",TEX,156,605,88,151,34,5,27,101,40,183,25,6,0.25,0.3,0.456,0.756,3.6
"JoseAbreu
",CWS,157,601,85,183,40,0,15,75,62,110,0,0,0.304,0.378,0.446,0.824,4.2
"
JoseRamirez
",CLE,157,601,90,168,44,5,29,126,69,82,20,7,0.28,0.355,0.514,0.869,6
"
NathanielLowe
",TEX,157,593,74,179,26,3,27,76,48,147,2,2,0.302,0.358,0.492,0.85,3.3
"CoreySeager
",TEX,151,593,91,145,24,1,33,83,58,103,3,0,0.245,0.317,0.455,0.772,4.1
"AlexVerdugo
",BOS,152,593,75,166,39,1,11,74,42,86,1,3,0.28,0.328,0.405,0.733,1.2
"
BobbyWitt
",KC,150,591,82,150,31,6,20,80,30,135,30,7,0.254,0.294,0.428,0.722,0.9
"RandyArozarena
",TB,153,586,72,154,41,3,20,89,46,156,32,12,0.263,0.327,0.445,0.772,2.8
"ShoheiOhtani
",LAA,157,586,90,160,30,6,34,95,72,161,11,9,0.273,0.356,0.519,0.875,9.6
"
AnthonySantander
",BAL,152,574,78,138,24,0,33,89,55,122,0,2,0.24,0.318,0.455,0.773,2.1
"
AaronJudge
",NYY,157,570,133,177,28,0,62,131,111,175,16,3,0.311,0.425,0.686,1.111,10.6
"
StevenKwan
",CLE,147,563,89,168,25,7,6,52,62,60,19,5,0.298,0.373,0.4,0.773,5.5
"
XanderBogaerts
",BOS,150,557,84,171,38,0,15,73,57,118,8,2,0.307,0.377,0.456,0.833,5.7
"JavierBaez
",DET,144,555,64,132,27,4,17,67,26,147,9,2,0.238,0.278,0.393,0.671,2.6
"
RafaelDevers
",BOS,141,555,84,164,42,1,27,88,50,114,3,1,0.295,0.358,0.521,0.879,4.4
"
RyanMountcastle
",BAL,145,555,62,139,28,1,22,85,43,154,4,1,0.25,0.305,0.423,0.728,1.4
"
TyFrance
",SEA,140,551,65,151,27,1,20,83,35,94,0,0,0.274,0.338,0.436,0.774,3
"
AlexBregman
",HOU,155,548,93,142,38,0,23,93,87,77,1,2,0.259,0.366,0.454,0.82,4.5
"
LuisArraez
",MIN,144,547,88,173,31,1,8,49,50,43,4,4,0.316,0.375,0.42,0.795,4.4
"
YuliGurriel
",HOU,146,545,53,132,40,0,8,53,30,73,8,0,0.242,0.288,0.36,0.648,-0.3
"
KyleTucker
",HOU,150,544,71,140,28,1,30,107,59,95,25,4,0.257,0.33,0.478,0.808,5.2
"
EugenioSuarez
",SEA,150,543,76,128,24,2,31,87,73,196,0,0,0.236,0.332,0.459,0.791,4
"
AdamFrazier
",SEA,156,541,61,129,22,4,3,42,46,73,11,6,0.238,0.301,0.311,0.612,0.7
"
MattChapman
",TOR,155,538,83,123,27,1,27,76,68,170,2,2,0.229,0.324,0.433,0.757,3.5
"
SeanMurphy
",OAK,148,537,67,134,37,2,18,66,56,124,1,0,0.25,0.332,0.426,0.758,3.5
"
ElvisAndrus
",CWS,149,535,66,133,32,0,17,58,39,92,18,4,0.249,0.303,0.404,0.707,3
"
AustinHays
",BAL,145,535,66,134,35,2,16,60,34,114,2,4,0.25,0.306,0.413,0.719,2.3
"MylesStraw
",CLE,152,535,72,118,22,3,0,32,54,87,21,1,0.221,0.291,0.273,0.564,2.7
"
J.D.Martinez
",BOS,139,533,76,146,43,1,16,62,52,145,0,0,0.274,0.341,0.448,0.789,1.1
"
JoseAltuve
",HOU,141,527,103,158,39,0,28,57,66,87,18,1,0.3,0.387,0.533,0.92,5.1
"GleyberTorres
",NYY,140,526,73,135,28,1,24,76,39,129,10,5,0.257,0.31,0.451,0.761,4.1
"
CarlosCorrea
",MIN,136,522,70,152,24,1,22,64,61,121,0,1,0.291,0.366,0.467,0.833,5.4
"
JeremyPena
",HOU,136,521,72,132,20,2,22,63,22,135,11,2,0.253,0.289,0.426,0.715,4.8
"
TreyMancini
",HOU,143,519,56,124,23,1,18,63,53,135,0,0,0.239,0.319,0.391,0.71,1.3
"
J.P.Crawford
",SEA,145,518,57,126,24,3,6,42,68,80,3,2,0.243,0.339,0.336,0.675,2.8
"
GeorgeSpringer
",TOR,133,513,89,137,22,4,25,76,54,100,14,2,0.267,0.342,0.472,0.814,4
"
JulioRodriguez
",SEA,132,511,84,145,25,3,28,75,40,145,25,7,0.284,0.345,0.509,0.854,6
"
AndrewVaughn
",CWS,134,510,60,138,28,1,17,76,31,96,0,0,0.271,0.321,0.429,0.75,-0.2
"
WhitMerrifield
",TOR,139,504,70,126,28,1,11,58,38,85,16,5,0.25,0.298,0.375,0.673,0
"
GioUrshela
",MIN,144,501,61,143,27,3,13,64,41,96,1,0,0.285,0.338,0.429,0.767,3.1
"
SethBrown
",OAK,150,500,55,115,26,3,25,73,51,146,11,2,0.23,0.305,0.444,0.749,1.7
"
TeoscarHernandez
",TOR,131,499,71,133,35,1,25,77,34,152,6,3,0.267,0.316,0.491,0.807,2.7
"
TonyKemp
",OAK,147,497,61,117,24,2,7,46,45,69,11,1,0.235,0.307,0.334,0.641,1.2
"
TaylorWard
",LAA,135,495,73,139,22,2,23,65,60,120,5,3,0.281,0.36,0.473,0.833,3.8
"
JorgeMateo
",BAL,150,494,63,109,25,7,13,50,27,147,35,9,0.221,0.267,0.379,0.646,3.3
"
AndresGimenez
",CLE,146,491,66,146,26,3,17,69,34,112,20,3,0.297,0.371,0.466,0.837,7.2
"
AJPollock
",CWS,138,489,61,120,26,1,14,56,32,98,3,1,0.245,0.292,0.389,0.681,0.6
"
LuisRengifo
",LAA,127,489,45,129,22,4,17,52,17,79,6,2,0.264,0.294,0.429,0.723,2.4
"
IsiahKiner-Falefa
",NYY,142,483,66,126,20,0,4,48,35,72,22,4,0.261,0.314,0.327,0.641,2.9
"
JonathanSchoop
",DET,131,481,48,97,23,1,11,38,19,107,5,0,0.202,0.239,0.322,0.561,0.2
"
JoshDonaldson
",NYY,132,478,59,106,28,0,15,62,54,148,2,2,0.222,0.308,0.374,0.682,2.4
"
YandyDiaz
",TB,137,473,71,140,33,0,9,57,78,60,3,3,0.296,0.401,0.423,0.824,3.5
"
YordanAlvarez
",HOU,135,470,95,144,29,2,37,97,78,106,1,1,0.306,0.406,0.613,1.019,6.8
"
AlejandroKirk",TOR,139,470,59,134,19,0,14,63,63,58,0,0,0.285,0.372,0.415,0.787,3.9
"
DJLeMahieu
",NYY,125,467,74,122,18,0,12,46,67,71,4,3,0.261,0.357,0.377,0.734,3.9
"
AnthonyRizzo
",NYY,130,465,77,104,21,1,32,75,58,101,6,5,0.224,0.338,0.48,0.818,2.3
"
AndrewBenintendi
",NYY,126,461,54,140,23,3,5,51,52,77,8,3,0.304,0.373,0.399,0.772,3.2
"
MJMelendez",KC,129,460,57,100,21,3,18,62,66,131,2,3,0.217,0.313,0.393,0.706,0.5
"
JesseWinker
",SEA,136,456,51,100,15,0,14,53,84,103,0,0,0.219,0.344,0.344,0.688,-0.3
"
CarlosSantana
",SEA,131,431,52,87,18,0,19,60,71,88,0,0,0.202,0.316,0.376,0.692,1.2