年度,受賞者,OPS
1990,リッキー・ヘンダーソン	,1.016
1991,カル・リプケン Jr.	,0.94
1993,フランク・トーマス,1.033
1994,フランク・トーマス,1.216
1995,モー・ヴォーン,0.963
1996,ファン・ゴンザレス,1.011
1997,ケン・グリフィー Jr.,1.028
1998,ファン・ゴンザレス,0.996
1999,イヴァン・ロドリゲス,0.914
2000,ジェイソン・ジアンビ,1.123
2001,イチロー,0.838
2002,ミゲル・テハーダ,0.862
2003,アレックス・ロドリゲス,0.996
2004,ヴラディミール・ゲレーロ,0.989
2005,アレックス・ロドリゲス,1.031
2006,ジャスティン・モーノー,0.934
2007,アレックス・ロドリゲス,1.067
2008,ダスティン・ペドロイア,0.869
2009,ジョー・マウアー,1.031
2010,ジョシュ・ハミルトン,1.044
2012,ミゲル・カブレラ,0.999
2013,ミゲル・カブレラ,1.078
2014,マイク・トラウト,0.938
2015,ジョシュ・ドナルドソン,0.939
2016,マイク・トラウト,0.991
2017,ホセ・アルトゥーベ,0.957
2018,ムーキー・ベッツ,1.078
2019,マイク・トラウト,1.083
2020,ジョシュ・ハミルトン,0.987
2021,大谷翔平,0.964